Id;Code;Name
811;3850;Nieuwerkerken (Limb.)
812;3850;Wijer
813;3870;Batsheers
814;3870;Bovelingen
815;3870;Gutschoven
816;3870;Heers
817;3870;Heks
818;3870;Horpmaal
819;3870;Klein-Gelmen
820;3870;Mechelen-Bovelingen
821;3870;Mettekoven
822;3870;Opheers
823;3870;Rukkelingen-Loon
824;3870;Vechmaal
825;3870;Veulen
826;3890;Boekhout
827;3890;Gingelom
828;3890;Jeuk
829;3890;Kortijs
830;3890;Montenaken
831;3890;Niel-bij-Sint-Truiden
832;3890;Vorsen
833;3891;Borlo
834;3891;Buvingen
835;3891;Mielen-Boven-Aalst
836;3891;Muizen (Limb.)
837;3900;Overpelt
838;3910;Neerpelt
839;3910;Sint-Huibrechts-Lille
840;3920;Lommel
841;3930;Achel
842;3930;Hamont
843;3930;Hamont-Achel
844;3940;Hechtel
845;3940;Hechtel-Eksel
846;3941;Eksel
847;3945;Ham
848;3945;Kwaadmechelen
849;3945;Oostham
850;3950;Bocholt
851;3950;Kaulille
852;3950;Reppel
853;3960;Beek
854;3960;Bree
855;3960;Gerdingen
856;3960;Opitter
857;3960;Tongerlo (Limb.)
858;3970;Leopoldsburg
859;3971;Heppen
860;3980;Tessenderlo
861;3990;Grote-Brogel
862;3990;Kleine-Brogel
863;3990;Peer
864;3990;Wijchmaal
865;4000;Glain
866;4000;Liège
867;4000;Rocourt
868;4020;Bressoux
869;4020;Jupille-sur-Meuse
870;4020;Liège
871;4020;Wandre
872;4030;Grivegnée
873;4030;Liège
874;4031;Angleur
875;4032;Chênée
876;4040;Herstal
877;4041;Milmort
878;4041;Vottem
879;4042;Liers
880;4050;Chaudfontaine
881;4051;Vaux-sous-Chèvremont
882;4052;Beaufays
883;4053;Embourg
884;4090;B.S.D. (Belg. Strijdkr. Duitsland)
885;4090;F.B.A. (Forces Belges en Allemagne)
886;4100;Boncelles
887;4100;Seraing
888;4101;Jemeppe-sur-Meuse
889;4102;Ougrée
890;4120;Ehein
891;4120;Neupré
892;4120;Rotheux-Rimière
893;4121;Neuville-en-Condroz
894;4122;Plainevaux
895;4130;Esneux
896;4130;Tilff
897;4140;Dolembreux
898;4140;Gomzé-Andoumont
899;4140;Rouvreux
900;4140;Sprimont
901;4141;Louveigné
902;4160;Anthisnes
903;4161;Villers-aux-Tours
904;4162;Hody
905;4163;Tavier
906;4170;Comblain-au-Pont
907;4171;Poulseur
908;4180;Comblain-Fairon
909;4180;Comblain-la-Tour
910;4180;Hamoir
911;4181;Filot
912;4190;Ferrières
913;4190;My
914;4190;Vieuxville
915;4190;Werbomont
916;4190;Xhoris
917;4210;Burdinne
918;4210;Hannêche
919;4210;Lamontzée
920;4210;Marneffe
921;4210;Oteppe
922;4217;Héron
923;4217;Lavoir
924;4217;Waret-l'Evêque
925;4218;Couthuin
926;4219;Acosse
927;4219;Ambresin
928;4219;Meeffe
929;4219;Wasseiges
930;4250;Boëlhe
931;4250;Geer
932;4250;Hollogne-sur-Geer
933;4250;Lens-Saint-Servais
934;4252;Omal
935;4253;Darion
936;4254;Ligney
937;4257;Berloz
938;4257;Corswarem
939;4257;Rosoux-Crenwick
940;4260;Avennes
941;4260;Braives
942;4260;Ciplet
943;4260;Fallais
944;4260;Fumal
945;4260;Ville-en-Hesbaye
946;4261;Latinne
947;4263;Tourinne (Lg.)
948;4280;Abolens
949;4280;Avernas-le-Bauduin
950;4280;Avin
951;4280;Bertrée
952;4280;Blehen
953;4280;Cras-Avernas
954;4280;Crehen
955;4280;Grand-Hallet
956;4280;Hannut
957;4280;Lens-Saint-Remy
958;4280;Merdorp
959;4280;Moxhe
960;4280;Petit-Hallet
961;4280;Poucet
962;4280;Thisnes
963;4280;Trognée
964;4280;Villers-le-Peuplier
965;4280;Wansin
966;4287;Lincent
967;4287;Pellaines
968;4287;Racour
969;4300;Bettincourt
970;4300;Bleret
971;4300;Bovenistier
972;4300;Grand-Axhe
973;4300;Lantremange
974;4300;Oleye
975;4300;Waremme
976;4317;Aineffe
977;4317;Borlez
978;4317;Celles (Lg.)
979;4317;Faimes
980;4317;Les Waleffes
981;4317;Viemme
982;4340;Awans
983;4340;Fooz
984;4340;Othée
